Symbol,sentiment,sentiment_score,MACD,MACD Signal,MACD Diff,sma3_minus_close,sma6_minus_close,sma9_minus_close,sma12_minus_close,sma15_minus_close,sma18_minus_close,sma21_minus_close,sma24_minus_close,sma27_minus_close,oil,oil_pct_1,oil_pct_2,oil_pct_3,oil_pct_4,gold,gold_pct_1,gold_pct_2,gold_pct_3,gold_pct_4,^FVX,^TNX,^TYX,^FVX_log_yoy,^TNX_log_yoy,^TYX_log_yoy
DG,0.0,0.008135085049613154,0.008006809246681559,0.006834741641178117,0.011137720781626932,0.0071320581644485044,0.001238289378341413,0.003938911941604941,0.014068861766283823,0.009825092862539719,0.00928075677906058,0.004820616878738246,0.004338443475768407,0.035526409509449276,0.0016981725722084282,0.0049805620011012875,0.015858988680296636,0.03986328279176583,0.04676735872872667,0.5335494123801914,0.039368984274626935,0.043686093281519726,0.00949559923494686,0.009805102264990855,0.008800613363244924,0.04988441895792423,0.05695184757601898,0.004313228237348636,0.002738610699316558,0.007953927480437434
DFS,0.0016189316556786137,0.00448769743976052,0.004327856215817133,0.17356486220877573,0.04217310672112339,0.00640838706874904,0.0051648950160008205,0.005045202333101169,0.003761855470212341,0.002984717712030967,0.0014129288911724188,0.0014469127231380218,0.00216648748404674,0.0015679080972107826,0.024628463169522708,0.13210033841381477,0.022778154511877594,0.03712940774332195,0.06814559292724669,0.09895114873753612,0.014150289012743626,0.19937948753030077,0.021946205182168426,0.023831585897544753,0.01967856277019389,0.010034615012125716,0.02603582110189168,0.02028668353642212,0.013896285165436463,0.010895610251035161
INVH,0.0018919802362122084,0.011553243567125508,0.10911722650373586,0.508919534025187,0.0029041674408814932,0.00738794708097157,0.0046522603709829085,0.003907844825051557,0.011517086722918454,0.014345074071383154,0.0008415130698735675,0.011568051217003052,0.002860773873023581,0.005586986506872536,0.03672701858134015,0.0076293674910279195,0.03007679043829227,0.018444980828939514,0.025090551848283522,0.003409063522107094,0.017755173729748414,0.002985287730300916,0.006994447718324685,0.004462535981167575,0.07045227058655343,0.01811076586112945,0.019670822089694954,0.024145514179891765,0.011045478264340351,0.005946241637635628
LIN,0.0008744466725429799,0.013558060902683178,0.013729989912035948,0.27317674387325785,0.009968201445617282,0.013564449408979594,0.02116044398604951,0.0028401272980510647,0.005189892373862882,0.0026694152658798755,0.0029758563084109424,0.0036382752759592622,0.008404659817758928,0.008017524151719961,0.05405485203650591,0.06767510728510552,0.03592451715256103,0.032332675414520534,0.026544557235627517,0.05836650000469307,0.15356259787758195,0.01508947531982966,0.022313691156830427,0.03950682217787173,0.022278268529422794,0.01981706409405065,0.0046395269991825056,0.020186823251668873,0.010381933518161973,0.037557501253576486
DXC,0.0,0.02658114050131256,0.009601107685755093,0.4701390718586653,0.018486920783565633,0.05215846327002389,0.02640291202444051,0.01356141724437146,0.011846065758578371,0.004602509985541446,0.004228234901962428,0.0023563916127242357,0.013222461320740468,0.022346187949695548,0.008842205695455048,0.01902766618580178,0.006915644317486847,0.010605015855187945,0.07343784142536357,0.010149068591901938,0.010577378155601943,0.008527986819254712,0.009515326484088801,0.006241164404424982,0.011707486269311198,0.020803388135410356,0.01866026464270052,0.049825547225520454,0.024001653780421354,0.035629477114691714
MPC,0.003516401162355338,0.04542466053855592,0.014164977661542247,0.24997081272290955,0.011832515773244281,0.032191993807740606,0.007224765440777814,0.002539233607044529,0.010300591245761756,0.004228015484997285,0.021253109785319767,0.004761740626974828,0.002510527670845421,0.010454664280936648,0.04260909505594754,0.027036893331993984,0.024193579665484997,0.04912383154236683,0.03613403789158743,0.05119556814055097,0.01816554440310668,0.016102202895936012,0.012021076811974403,0.008034794364308824,0.02477437776557645,0.015099234029809075,0.24179066779207775,0.002639066515814535,0.006825411499052908,0.003880608485405496
CSX,0.002334736372551338,0.023997454663307605,0.01402782850189906,0.47415259038834856,0.012375981360031875,0.02774426221720607,0.015365501069809013,0.021004713128496603,0.006850771853178275,0.004669124447167263,0.003280106431858211,0.0032683482744831063,0.008164775698607442,0.012775453000997212,0.03609635269198708,0.0048322520754718375,0.034333353310978296,0.053998560111306396,0.048672014072422644,0.02662432236295834,0.02627077651361798,0.030575747727133236,0.03463783769147428,0.01143971572597719,0.02157410286538558,0.009973485907533,0.013717756578354239,0.004544156397280282,0.004962667687470345,0.007735250872707433
RF,0.014602735817445568,0.005544917409106907,0.008052430926299831,0.47445248388694267,0.00402780470411421,0.025104106500038872,0.004926388160573043,0.00321659070928794,0.004010111192785698,0.01102375440017658,0.002234324608906324,0.006816318109375919,0.007983707320381615,0.006400883848905487,0.010641446920821853,0.010176281723183118,0.013403903395830516,0.04212752220069196,0.03911721842066798,0.13394629444998207,0.02256852967745105,0.01828038789385139,0.02339439032902439,0.017215194222267728,0.007090650729287884,0.01082999047367463,0.006685091827385118,0.04625946530363354,0.009343933126585725,0.01052314171132048
PAYC,8.772749192208094e-06,0.010090534702382789,0.10939225059578789,0.21684587255926882,0.01153738935482514,0.012220271954509875,0.005972393683616541,0.012193463274206033,0.0089845322434974,0.004840005667295383,0.0016111271000135985,0.018474063879369614,0.022462927091204413,0.10027953581255775,0.11113051968838773,0.08363821067077123,0.027084166731979706,0.029191535200015696,0.005398245916680467,0.01121577451766837,0.012632720071046336,0.039247090306934844,0.05146144674695206,0.03529738910220103,0.018108349103884997,0.008748625018192561,0.015542409059447388,0.0028089513740836257,0.006797898234762158,0.006783527589264327
TRV,0.0,0.06663365504495201,0.005727455853747008,0.5265857275736273,0.013539108430364289,0.04351731502953748,0.013037565880368533,0.013296349576138516,0.012037792032617754,0.0018107880320455015,0.0032723762672101603,0.0032196158197070382,0.006041644534468786,0.011610842698753008,0.006728159286114329,0.03441264521778527,0.030287939912614147,0.03965997032761182,0.00891557115244152,0.012526829961209579,0.016362093917523312,0.009875658337570457,0.02494788122208959,0.028798331497131378,0.009754508129614915,0.016762370642049457,0.006786605249429145,0.012169667292332806,0.011801201347547256,0.009880329733397829
